ID,Type of Defect,Date Recorded,Stage Detected,Description,Risk,Part Involved,Car Model
12410,Other,9/5/2023,Testing,Method mind quickly box task.,High,Suspension,Hatchback
12411,Software,1/17/2020,Customer Delivery,Congress director foot.,Medium,Other,Hatchback
12412,Mechanical,8/17/2015,After Sales,Program clearly dark ever individual skill citizen.,Low,Other,Sedan
12413,Body,11/17/2021,Testing,Well for state information every list.,High,Brakes,SUV
12414,Software,10/9/2019,Production,Say usually kitchen security plan fast material.,High,Other,Hatchback
12415,Body,7/29/2019,Testing,Study fill walk class.,Medium,Engine,Sedan
12416,Body,8/2/2012,Testing,Realize plan prepare president ready boy.,Low,Electrical System,SUV
12417,Software,3/31/2019,After Sales,Nothing money house democratic dream say.,Low,System,Truck
12418,Mechanical,4/27/2021,After Sales,Interest safe moment through account among.,High,Other,SUV
12419,Body,4/3/2023,Production,Reach want result rise.,Low,Suspension,SUV
12420,Body,12/1/2012,After Sales,Prove these life.,Low,Engine,Truck
12421,Electrical,7/23/2022,Testing,Cause guess human upon side realize adult.,Low,Transmission,SUV
12422,Mechanical,1/17/2023,Production,Job rather which Republican dream.,Low,Interior,Hatchback
12423,Software,6/9/2018,Customer Delivery,Somebody feel share necessary return direction main back.,High,System,Truck
12424,Body,11/19/2022,Customer Delivery,Song general think.,Medium,Suspension,Hatchback
12425,Software,12/13/2021,Customer Delivery,Story thank character certain claim.,Medium,System,Truck
12426,Software,10/13/2019,After Sales,Me top financial.,Medium,Other,SUV
12427,Electrical,8/15/2011,After Sales,Arrive accept skin name yes national money.,Medium,Other,SUV
12428,Body,1/18/2012,Customer Delivery,Budget science environment where wall cell.,High,Brakes,Sedan
12429,Other,9/19/2013,Testing,Bit moment member yourself compare war race.,Low,Suspension,Hatchback
12430,Body,3/29/2014,Production,Especially might explain someone meet.,Low,Transmission,Sedan
12431,Software,8/24/2021,Customer Delivery,Figure however ten term down support.,High,System,Sedan
12432,Mechanical,4/1/2020,Customer Delivery,Tonight there social black along.,Medium,Engine,Hatchback
12433,Other,8/11/2021,After Sales,Hospital everything gas long.,Medium,Electrical System,Hatchback
12434,Other,2/8/2017,Production,Act age sign floor operation.,Low,Brakes,SUV
12435,Body,4/15/2016,After Sales,Together wall age during write reason security.,Medium,Transmission,SUV
12436,Electrical,11/28/2021,Testing,Dream nice arm article value garden.,Low,Electrical System,SUV
12437,Mechanical,10/27/2016,Production,Paper factor range game.,Low,Other,Hatchback
12438,,9/7/2015,,,,,
12439,Mechanical,11/1/2020,Testing,But exist country.,Low,Other,Sedan
12440,Body,3/22/2022,After Sales,World player city industry half middle fill.,High,Brakes,Hatchback
12441,Other,9/17/2023,After Sales,Mention fast religious several single likely.,High,Engine,Hatchback
12442,Other,6/26/2016,Production,Statement sport always certainly election.,Low,Transmission,SUV
12443,Body,12/8/2021,Production,Policy ground stay water population religious natural move.,Low,Electrical System,Truck
12444,Mechanical,6/22/2023,Testing,Conference improve one fall.,High,Engine,SUV
12445,Software,11/13/2016,Customer Delivery,Big name business dream explain.,Medium,Other,Truck
12446,Body,4/17/2023,Testing,Those just charge ready magazine every within.,Low,Suspension,Truck
12447,Mechanical,12/20/2021,Customer Delivery,Student part because.,High,Electrical System,Sedan
12448,Body,9/1/2019,Production,Bar option join compare.,Medium,Interior,Hatchback
12449,Electrical,5/11/2020,After Sales,Effect cup dinner time.,High,Body Panels,Truck
12450,Mechanical,3/25/2021,Customer Delivery,Old every audience these also board every.,High,Brakes,SUV
12451,Other,8/5/2023,Customer Delivery,Operation economic again other.,Medium,Suspension,Hatchback
12452,Other,12/26/2022,Testing,Word look daughter generation herself maintain impact everything.,Low,Electrical System,Sedan
12453,Electrical,12/6/2018,Testing,Crime above share either.,Medium,Other,Truck
12454,Electrical,10/2/2016,Customer Delivery,Car very chance view address financial.,Low,Interior,Truck
12455,Body,12/31/2021,Production,Better thus ago music their budget.,High,Interior,Hatchback
12456,Body,9/6/2020,Testing,Although successful standard no foreign catch former.,High,Other,Hatchback
12457,Software,6/9/2019,Production,Feeling end store news.,Low,Other,Hatchback
12458,Software,12/31/2022,Customer Delivery,Water them technology little but.,High,System,Truck
12459,Body,8/24/2023,Production,Because course per hear though light something.,Medium,Electrical System,Sedan
12460,Body,7/28/2020,After Sales,Network direction hold bad attack job.,Medium,Transmission,Truck
12461,Other,5/15/2019,After Sales,Popular fact remember detail will during.,High,Transmission,SUV
12462,Mechanical,10/4/2022,Production,Eat imagine argue natural end.,Medium,Electrical System,Truck
12463,Mechanical,8/22/2018,After Sales,Sense participant mouth generation minute executive.,High,Body Panels,SUV
12464,Other,1/28/2014,Customer Delivery,Music difference forward.,High,Interior,SUV
12465,Body,8/29/2023,Testing,Go particularly idea anything account hand.,Low,Suspension,SUV
12466,Mechanical,3/12/2014,Production,Himself attention different tree test.,High,Suspension,Truck
12467,Body,10/14/2021,Customer Delivery,Million can chair pretty decision career ok.,Low,Engine,Hatchback
12468,Electrical,9/23/2021,After Sales,Draw economy town can.,Low,Interior,Hatchback
12469,Mechanical,1/26/2017,After Sales,Course product skin stuff which.,Medium,Suspension,Hatchback
12470,Mechanical,1/23/2022,After Sales,Effect quality put black.,High,Interior,Hatchback
12471,Other,4/24/2022,Testing,Similar method two marriage now within think.,Low,Suspension,Hatchback
12472,Software,10/22/2023,After Sales,One floor suffer both personal.,Medium,System,Truck
12473,Mechanical,11/9/2023,After Sales,Fill off image herself result.,Low,Electrical System,Truck
12474,Mechanical,1/11/2018,Customer Delivery,Standard writer choice program.,Low,Body Panels,SUV
12475,Mechanical,4/29/2020,Production,Since challenge once mouth.,Medium,Interior,Sedan
12476,Mechanical,11/11/2015,Production,Sing another scientist left.,Low,Body Panels,Sedan
12477,Software,11/13/2020,Testing,Mrs book technology nor keep company.,High,Other,SUV
12478,Body,11/27/2019,Testing,A fund nearly book wind paper organization.,High,Electrical System,SUV
12479,Body,1/22/2022,After Sales,Instead able back husband policy rest never.,Low,Other,Sedan
12480,Body,9/21/2021,After Sales,Agreement meet home them admit.,High,Transmission,SUV
12481,Other,11/20/2020,Testing,Sound air wait product know section your.,High,Suspension,Truck
12482,Mechanical,3/18/2017,After Sales,Budget point arrive message south.,Medium,Other,Sedan
12483,Other,6/11/2013,Production,Energy sense some order.,High,Electrical System,Sedan
12484,Body,9/22/2013,Customer Delivery,Account arm wonder.,Medium,Interior,Sedan
12485,Electrical,5/24/2022,Customer Delivery,Style special do race.,Low,Interior,Truck
12486,Mechanical,11/13/2020,Customer Delivery,Laugh above allow character almost let across service.,Low,Interior,SUV
12487,Other,11/16/2023,After Sales,Never edge decide discussion.,High,Transmission,Hatchback
12488,Software,11/27/2022,Customer Delivery,Daughter evening heart American long.,Low,System,Hatchback
12489,Other,9/1/2015,Customer Delivery,List whole court run service.,Medium,Brakes,SUV
12490,Body,1/21/2023,Testing,Pull nice close responsibility market every.,Medium,Interior,Hatchback
12491,Body,2/14/2020,Customer Delivery,Hit concern market sport response possible garden.,Medium,Electrical System,Sedan
12492,Electrical,10/11/2023,Testing,Opportunity art sell yeah.,Low,Suspension,Hatchback
12493,Body,4/3/2022,Production,Policy buy often certainly bad every.,Medium,Other,Sedan
12494,Mechanical,4/23/2013,Customer Delivery,Time accept science less yourself.,Medium,Engine,Hatchback
12495,Other,6/3/2021,Customer Delivery,Machine agent network.,High,Engine,SUV
12496,Body,12/23/2022,Testing,Once turn tree what difficult other.,High,Electrical System,Truck
12497,Body,11/24/2023,Customer Delivery,Daughter behind than indicate big if certain.,Low,Engine,SUV
12498,Software,2/24/2023,Production,Star trial win move question.,High,System,Truck
12499,Body,5/1/2022,Customer Delivery,Occur course open example.,High,Interior,SUV
12500,Body,8/12/2020,Customer Delivery,Fund yeah wait eye east.,Medium,Electrical System,SUV
12501,Mechanical,4/23/2016,After Sales,Whose pull reduce send.,Low,Suspension,Truck
12502,Electrical,10/31/2014,Production,Over second green citizen hand interesting nature push.,High,Body Panels,Sedan
12503,Electrical,4/29/2021,Production,Person bed whole their ready door.,High,Electrical System,Hatchback
12504,Mechanical,10/26/2017,Customer Delivery,The hundred we become coach adult consumer.,Low,Body Panels,Truck
12505,Other,9/15/2015,After Sales,Prepare partner visit debate close.,High,Suspension,Hatchback
12506,Other,3/23/2023,Testing,Southern claim by question expect thank.,High,Transmission,Sedan
12507,Electrical,8/5/2017,Customer Delivery,Middle local exactly believe adult six check fast.,Low,Body Panels,SUV
12508,Other,9/15/2022,Production,Out fly suffer.,Medium,Electrical System,Truck
12509,Body,4/25/2022,Testing,Notice although enter.,High,Engine,Truck
12510,Software,10/13/2023,Testing,Wide between through break short wall idea.,High,Other,SUV
12511,Mechanical,5/26/2018,Customer Delivery,Woman it agree lot social face could.,Medium,Other,Truck
12512,Other,2/18/2022,After Sales,Result third contain could concern.,High,Electrical System,SUV
12513,Other,8/4/2020,After Sales,Believe able product challenge how.,High,Electrical System,Hatchback
12514,Electrical,6/3/2023,After Sales,Involve compare thought democratic.,Medium,Suspension,Hatchback
12515,Electrical,9/21/2023,Customer Delivery,Family firm bar us herself executive.,High,Suspension,SUV
12516,Mechanical,5/26/2020,Testing,Avoid system lose adult fear my.,High,Suspension,Sedan
12517,Mechanical,10/11/2015,After Sales,Benefit number article great good various.,Medium,Other,Sedan
12518,,6/28/2022,,,,,
12519,Body,1/28/2021,Customer Delivery,Guess bar night in the.,Low,Suspension,SUV
12520,Electrical,9/8/2016,Testing,Pick year join improve way learn.,Low,Engine,Sedan
12521,Mechanical,9/4/2018,Customer Delivery,Mind within check idea consider.,Low,Transmission,Hatchback
12522,Mechanical,11/9/2011,After Sales,Perform develop through road positive third resource.,Medium,Suspension,SUV
12523,Other,7/7/2020,After Sales,Letter tonight science on.,Low,Interior,Hatchback
12524,Electrical,3/19/2022,Testing,View behavior produce return.,High,Other,Hatchback
12525,Mechanical,4/10/2023,Production,Physical you hold and quickly next next.,High,Transmission,SUV
12526,Software,6/21/2019,Customer Delivery,Establish feel summer toward watch mother.,Medium,System,Hatchback
12527,Software,6/19/2017,Production,The up know heart.,Medium,Other,Truck
12528,Body,6/24/2023,After Sales,By plant reflect deep.,High,Suspension,Sedan
12529,Software,3/5/2019,After Sales,Take enter begin best surface then heavy finish.,High,Other,Sedan
12530,Electrical,3/31/2018,Production,Care your skill.,Medium,Transmission,SUV
12531,Software,10/25/2022,Customer Delivery,Power control which four fly true.,Medium,System,Hatchback
12532,,11/17/2023,,,,,
12533,Electrical,12/3/2021,After Sales,Back side easy listen father throughout benefit.,Low,Body Panels,SUV
12534,Software,5/7/2022,After Sales,Thank young day receive force realize thing.,High,Other,SUV
12535,Other,2/20/2020,Testing,Four tree direction stuff.,High,Other,SUV
12536,Body,9/13/2014,Production,Because wait onto official guy.,Low,Electrical System,Truck
12537,Body,9/24/2023,After Sales,Your economy decide understand.,Medium,Electrical System,SUV
12538,Other,9/14/2021,Production,Foot feeling contain continue.,Low,Interior,Truck
12539,Software,9/10/2019,Customer Delivery,East pressure wind money grow.,High,Other,Sedan
12540,Other,1/24/2023,Testing,They protect see necessary beyond state dark herself.,High,Interior,SUV
12541,Body,9/4/2021,Testing,Hospital how politics size leader develop anything.,High,Interior,SUV
12542,Mechanical,2/4/2021,After Sales,There test theory cover read issue.,Low,Transmission,Sedan
12543,Body,5/14/2023,Testing,Arm at daughter.,Medium,Other,Truck
12544,,3/3/2022,,,,,
12545,Electrical,10/2/2019,Testing,Garden interesting herself card between part.,High,Suspension,Truck
12546,Body,2/16/2023,Customer Delivery,Their serve suggest feel civil.,Medium,Transmission,Truck
12547,Software,3/19/2023,Testing,When group rule bill kid again thank.,High,System,SUV
12548,Electrical,3/5/2022,After Sales,According these yeah improve light.,Low,Body Panels,Sedan
12549,Mechanical,11/23/2023,Testing,Town always career friend management suggest adult.,Low,Interior,SUV
12550,Body,3/11/2021,Testing,Measure hotel agency great arm make.,Low,Brakes,Hatchback
12551,Electrical,6/14/2023,After Sales,Away clearly run agree grow.,Low,Interior,Hatchback
12552,Electrical,7/21/2021,After Sales,This any these usually feeling over.,Medium,Other,SUV
12553,Body,11/26/2019,Production,Least draw local understand.,Medium,Transmission,Sedan
12554,Electrical,9/20/2020,Customer Delivery,Beyond say they mouth education value.,Low,Interior,Sedan
12555,Other,5/9/2023,Customer Delivery,Dark effort nature cup organization little thank.,Low,Suspension,Truck
12556,Software,1/2/2023,Production,Sport later worker cell much mouth.,High,System,Sedan
12557,Body,2/2/2020,Production,Mind just population as.,Medium,Engine,Sedan
12558,Body,4/6/2022,Testing,Treat night tough fall design upon.,Low,Brakes,Hatchback
12559,Other,11/2/2023,Customer Delivery,Tough play realize effect.,High,Other,Hatchback
12560,Electrical,10/14/2023,Testing,Easy agreement window before.,Medium,Suspension,Truck
12561,Software,2/26/2021,Production,Job organization power happy dog it.,High,System,SUV
12562,Electrical,5/15/2017,Testing,Build second space character who spend.,High,Transmission,SUV
12563,,12/6/2023,,,,,
12564,Mechanical,5/19/2023,Production,But find parent.,Medium,Suspension,SUV
12565,Software,6/9/2023,After Sales,Under bar everything relationship carry.,Low,System,Hatchback
12566,Other,11/5/2016,Testing,Maintain page amount whether indicate single into.,Low,Body Panels,Truck
12567,Electrical,8/3/2019,After Sales,Recent second race sound kitchen vote hear.,High,Suspension,Hatchback
12568,Software,7/5/2023,After Sales,Yourself business test must about.,Low,System,Sedan
12569,Mechanical,2/21/2023,Customer Delivery,Thank yourself store spend require strategy.,High,Interior,Hatchback
12570,Mechanical,10/12/2022,Testing,Catch author condition budget support its around.,Low,Engine,Truck
12571,Other,10/23/2015,After Sales,There onto change.,Low,Engine,Hatchback
12572,Mechanical,9/12/2023,Testing,Career investment per security car bed.,High,Suspension,SUV
12573,Mechanical,6/20/2021,Production,Born move see south.,High,Brakes,Sedan
12574,Electrical,11/11/2013,After Sales,End remain new ok let good.,Medium,Transmission,Sedan
12575,Software,11/7/2018,Production,Range yard show maintain staff day station.,High,System,Hatchback
12576,Body,12/1/2022,After Sales,Low adult hundred that.,Low,Transmission,SUV
12577,Mechanical,11/27/2022,After Sales,Large her everything accept important know machine.,High,Suspension,Truck
12578,Software,8/4/2021,Customer Delivery,Me matter fund just we determine admit.,Low,Other,SUV
12579,Mechanical,9/2/2020,Customer Delivery,Through along audience hold material usually hear.,Medium,Suspension,Truck
12580,Body,11/22/2022,Production,Area throughout down magazine world.,Medium,Interior,Truck
12581,Software,10/12/2018,Production,Whole skin picture piece.,High,Other,SUV
12582,Electrical,3/23/2021,Customer Delivery,Fact camera gas half successful.,High,Body Panels,Hatchback
12583,Other,3/12/2010,Customer Delivery,So these sign fill stage.,Low,Interior,Truck
12584,Software,5/20/2023,After Sales,Management relationship foot treat.,High,System,Hatchback
12585,Other,1/25/2021,Testing,Attack hit organization others.,High,Other,Truck
12586,Software,2/28/2023,Testing,Politics box if small effort cover fund.,High,Other,Sedan
12587,Software,10/12/2023,Customer Delivery,How street thought today whose.,High,Other,Sedan
12588,Electrical,11/22/2017,After Sales,Clear material again boy ahead attention option.,Medium,Suspension,Sedan
12589,Software,8/21/2022,Production,Establish heart after quickly poor attack evening.,High,System,Sedan
12590,Mechanical,7/16/2023,After Sales,Memory star story.,Low,Engine,Hatchback
12591,Electrical,7/25/2022,Customer Delivery,Culture sit three measure.,High,Transmission,SUV
12592,Electrical,7/17/2021,Customer Delivery,They spring end environmental.,Medium,Interior,SUV
12593,Electrical,8/19/2019,After Sales,Care open large economy.,Medium,Engine,Sedan
12594,Mechanical,10/24/2023,Production,If beat size mind sell kitchen and.,Low,Transmission,Sedan
12595,Mechanical,6/4/2016,Production,Election trade kind about break fight hot.,High,Electrical System,SUV
12596,Body,6/6/2020,After Sales,Continue election price risk back.,Low,Transmission,SUV
12597,Mechanical,7/30/2023,After Sales,Manager wall pretty police trouble find.,High,Body Panels,Sedan
12598,Software,12/2/2014,After Sales,Camera country part arrive wonder site team two.,Low,System,Hatchback
12599,Software,4/11/2022,Production,Man program station around summer.,High,System,Sedan
12600,Software,7/14/2021,Production,Chair include call every meet billion piece.,High,System,Hatchback
12601,Software,6/25/2021,Production,Water candidate agree citizen as.,Low,Other,Hatchback
12602,Software,6/28/2023,After Sales,Travel reason indeed five.,Medium,Other,Truck
12603,Body,8/1/2020,After Sales,Generation enough name American quickly field free spend.,Medium,Engine,Sedan
12604,Electrical,7/22/2023,Testing,Help should allow nature six coach baby help.,Low,Brakes,SUV
12605,Electrical,6/4/2021,After Sales,Region no air once western.,Low,Interior,Truck
12606,Other,3/29/2020,After Sales,Along matter cup.,Medium,Suspension,Hatchback
12607,Software,1/26/2015,Production,Grow why interest old yeah.,Medium,System,Sedan
12608,,11/9/2015,,,,,
12609,Mechanical,7/31/2022,Testing,Reason majority community may senior better.,Low,Body Panels,SUV
12610,Body,8/30/2021,Testing,Democrat work hard decision money.,High,Other,Sedan
12611,Software,2/24/2023,Customer Delivery,Customer woman security news attention reason parent second.,Low,System,SUV
12612,Mechanical,7/11/2018,After Sales,Tax him tree at.,High,Electrical System,Hatchback
12613,Electrical,11/5/2019,Production,Sea goal energy benefit born car on.,Low,Engine,SUV
12614,Other,8/12/2023,Customer Delivery,Project rather exist generation course glass.,High,Body Panels,Hatchback
12615,Mechanical,8/8/2012,Testing,Level know bad break.,Low,Other,Sedan
12616,Other,3/5/2017,Production,Smile heavy music too dream field Republican.,Low,Body Panels,SUV
12617,Software,11/25/2023,Production,Recent before find drive pay already something.,Low,Other,SUV
12618,Electrical,7/29/2014,Testing,Always direction though shake.,Low,Brakes,Hatchback
12619,Electrical,7/29/2022,Customer Delivery,Teacher site floor car yourself cultural.,High,Transmission,Hatchback
12620,Software,12/1/2022,Production,Several spring charge direction anyone field sister.,Medium,System,Hatchback
12621,Body,12/6/2023,Testing,Newspaper necessary have gas measure arm music happen.,Low,Engine,Sedan
12622,Software,8/4/2022,Customer Delivery,Type who drive.,Low,Other,SUV
12623,Mechanical,6/19/2023,Production,Question leg next.,High,Electrical System,Truck
12624,Body,12/31/2023,After Sales,Hundred particular arm already.,Medium,Electrical System,Hatchback
12625,Software,7/30/2018,Production,American author actually mission positive century.,High,System,Truck
12626,Electrical,12/24/2022,Testing,Indicate protect stand carry others.,Low,Body Panels,Truck
12627,Mechanical,2/14/2020,Production,Full series job although together build turn.,Low,Other,SUV
12628,Electrical,10/6/2017,After Sales,Between health surface give cost.,Medium,Transmission,Sedan
12629,Other,2/21/2020,After Sales,Three fine claim attack people majority old.,High,Brakes,Truck
12630,Body,12/10/2022,Testing,Tend unit program just front push particularly character.,High,Body Panels,Sedan
12631,Software,10/23/2017,Testing,Smile bill early.,High,Other,SUV
12632,Other,12/18/2022,After Sales,They partner do consumer reach dinner.,Low,Suspension,SUV
12633,Mechanical,12/24/2023,After Sales,Prepare remember impact.,Low,Electrical System,Truck
12634,Mechanical,10/4/2020,Production,Building prepare environmental its can camera.,High,Interior,Hatchback
12635,Electrical,5/14/2020,Testing,And fine so them reason late.,High,Interior,Hatchback
12636,Other,12/18/2017,Customer Delivery,School sea free west long sea same institution.,Low,Brakes,Truck
12637,Other,9/28/2019,Customer Delivery,Election safe region well worker.,High,Electrical System,Sedan
12638,Mechanical,8/14/2020,Customer Delivery,Number worry involve hope and skin.,Low,Electrical System,Truck
12639,Electrical,3/17/2022,After Sales,Opportunity next dream but scientist exactly.,High,Interior,Hatchback
12640,Other,11/12/2022,Testing,Tough movie final human.,Medium,Electrical System,Truck
12641,Electrical,9/4/2014,Production,Allow partner realize cover learn Congress.,High,Transmission,SUV
12642,Mechanical,2/8/2023,Testing,Speak morning describe visit born.,High,Electrical System,Sedan
12643,Electrical,11/6/2012,Production,Like baby try if western tree.,High,Other,Sedan
12644,Software,9/19/2023,Testing,Result situation another ahead so move.,Low,System,Sedan
12645,Body,9/25/2018,Production,Serious yourself simple size will myself.,Low,Interior,Truck
12646,Other,9/23/2022,Testing,Industry send interesting home.,Low,Interior,Truck
12647,Mechanical,8/3/2017,After Sales,Lay husband and develop market huge.,Low,Suspension,SUV
12648,Other,9/23/2023,Production,Mouth heart sound grow get not.,High,Body Panels,Sedan
12649,Electrical,10/7/2023,After Sales,Art indeed certain.,Medium,Brakes,SUV
12650,Body,1/8/2016,Customer Delivery,Offer within three rise.,High,Electrical System,Sedan
12651,Electrical,3/27/2020,After Sales,Summer happy too natural lawyer court.,High,Brakes,Hatchback
12652,Other,2/23/2023,Testing,Analysis traditional natural onto evening.,Low,Engine,Hatchback
12653,Electrical,11/13/2023,Testing,Allow successful whole rather major street.,Low,Body Panels,SUV
12654,Electrical,7/1/2011,Production,Ability party cost director bad sense beautiful century.,Medium,Electrical System,Hatchback
12655,Other,11/18/2023,After Sales,Seat themselves mind I forget onto figure.,Medium,Electrical System,SUV
12656,,12/24/2020,,,,,
12657,Body,5/4/2022,Production,War half because security improve down white sit.,High,Body Panels,Sedan
12658,Electrical,11/16/2021,Customer Delivery,Soon reveal everyone training very arrive.,Medium,Other,Hatchback
12659,Electrical,1/9/2020,Production,Hospital process wait.,Medium,Brakes,Truck
12660,Mechanical,5/21/2021,Production,Big road store could heavy power.,Medium,Engine,Hatchback
12661,Body,5/12/2022,Production,Would air wait across city not resource.,High,Other,SUV
12662,Electrical,11/13/2018,Testing,Pay life term from throw.,High,Engine,Hatchback
12663,Other,12/21/2023,Customer Delivery,Husband service want movie some fear develop.,Medium,Suspension,Truck
12664,,10/4/2023,,,,,
12665,Body,5/24/2023,Production,Nature bag laugh word court remain none.,Medium,Interior,SUV
12666,Other,11/15/2019,After Sales,Woman front democratic product section.,Low,Transmission,Sedan
12667,Software,3/30/2020,Production,Site finally different maintain.,Medium,Other,Sedan
12668,Mechanical,3/3/2018,Customer Delivery,Senior table degree let later hundred.,Low,Electrical System,Sedan
12669,Software,7/12/2022,Testing,Rock beautiful say act school.,High,Other,SUV
12670,Software,1/23/2017,Testing,Direction yourself attention seem.,High,System,SUV
12671,Mechanical,10/15/2020,Production,Change trade before PM bit beautiful sea.,Low,Body Panels,Hatchback
12672,Electrical,8/24/2022,Testing,Life practice place common number week.,High,Brakes,Hatchback
12673,Software,7/19/2023,Production,Back seem size doctor card seem source.,Low,Other,Hatchback
12674,Mechanical,12/13/2023,Production,Trouble executive language anything west physical sometimes.,Medium,Body Panels,Sedan
12675,Electrical,11/15/2021,After Sales,Whatever happy talk many today main body.,Medium,Engine,Hatchback
12676,Software,10/30/2013,Production,Learn point around Republican husband.,High,Other,Truck
12677,,5/14/2017,,,,,
12678,Software,1/9/2018,After Sales,Hospital pick leave bar clearly south time.,High,Other,SUV
12679,Body,7/27/2021,Testing,Stand quality toward much.,High,Suspension,Hatchback
12680,Mechanical,8/30/2017,Production,Court know action same.,High,Body Panels,Truck
12681,Other,12/26/2023,After Sales,Current seek note.,Medium,Transmission,Truck
12682,Body,10/28/2021,Customer Delivery,Your amount quickly parent.,Low,Body Panels,Hatchback
12683,Mechanical,5/24/2023,After Sales,Run treatment study health.,Medium,Engine,Truck
12684,Software,12/22/2023,Production,Notice summer financial cold.,High,System,SUV
12685,Software,12/29/2023,After Sales,Event space know method cell.,Low,System,Truck
12686,Other,7/22/2022,After Sales,Adult beautiful take any fall after it.,Low,Interior,Hatchback
12687,Body,11/13/2022,After Sales,Wish today watch together perform.,Low,Body Panels,Sedan
12688,Other,8/17/2023,Testing,Expect stop occur interview attention nothing.,High,Engine,SUV
12689,Software,7/20/2018,Testing,Accept top marriage sound.,High,Other,Hatchback
12690,Electrical,10/20/2021,Testing,Important walk arm case if bag write.,High,Other,Sedan
12691,Electrical,12/14/2013,After Sales,Small allow two early per pretty become.,Low,Suspension,Hatchback
12692,Body,11/3/2022,Customer Delivery,Part information support suffer indeed message building game.,Medium,Body Panels,Sedan
12693,Body,9/27/2019,After Sales,Material up then option treat buy.,Medium,Suspension,SUV
12694,Other,9/11/2014,After Sales,Whom career big question.,High,Suspension,Sedan
12695,Electrical,5/14/2022,Production,Different them cut focus realize everybody.,High,Other,Truck
12696,Mechanical,2/13/2012,After Sales,Investment indeed authority woman per onto.,High,Engine,Truck
12697,Electrical,1/3/2019,Production,Instead child benefit her pay apply feeling.,Medium,Engine,Hatchback
12698,Body,5/12/2021,Production,Million think yourself sometimes no official.,Low,Interior,SUV
12699,Other,11/16/2015,Testing,Score blue situation act pull.,High,Transmission,Hatchback
12700,Electrical,7/30/2023,Testing,Probably call half sea law south shoulder.,High,Engine,Truck
12701,Body,3/9/2021,Production,Poor maintain course table.,Medium,Engine,SUV
12702,Other,7/20/2023,After Sales,Specific just lead successful argue might.,Low,Other,Hatchback
12703,Software,11/19/2023,Production,Ever southern run.,Low,System,Sedan
12704,Other,1/30/2019,After Sales,Respond number phone notice issue stage where.,High,Brakes,SUV
12705,Software,5/6/2022,Testing,Thousand trip bed unit.,High,Other,Hatchback
12706,Software,9/13/2021,Production,Leave region if trade.,Medium,System,SUV
12707,Software,10/8/2013,After Sales,Well we speech.,Medium,System,Sedan
12708,Body,9/18/2023,Customer Delivery,Against full behavior need member than whether.,Low,Suspension,SUV
12709,Software,7/4/2021,Customer Delivery,Now which door floor measure.,Low,System,Truck
12710,Electrical,7/25/2021,Testing,Set professional hand do executive health.,Medium,Brakes,Hatchback
12711,Electrical,3/13/2023,Production,Old watch report simply both energy.,Low,Body Panels,Truck
12712,Other,8/29/2017,Production,Detail end remain south.,Low,Suspension,Hatchback
12713,,5/20/2023,,,,,
12714,Body,8/10/2018,Production,Else each significant then develop institution.,High,Interior,SUV
12715,Electrical,9/13/2021,After Sales,Run create throughout blood.,Medium,Transmission,Truck
12716,Body,1/28/2016,Production,Young newspaper eye wind most heart common.,Low,Body Panels,SUV
12717,Body,8/18/2021,Customer Delivery,Yet defense environmental manager east born.,Low,Engine,Truck
12718,Software,5/4/2023,After Sales,Trip house different project force authority tell writer.,Low,Other,SUV
12719,Software,6/6/2021,Production,Performance far leader gun one leave safe.,Low,Other,Truck
12720,Mechanical,8/24/2014,Testing,Later pick mission article forward hit each.,High,Other,SUV
12721,Software,5/20/2023,After Sales,Put specific data eat.,High,System,Truck
12722,Body,2/24/2021,Testing,South local control entire offer network police.,High,Other,SUV
12723,Electrical,9/12/2019,Testing,Cause sort business financial.,Low,Engine,Sedan
12724,Mechanical,8/22/2023,After Sales,Reach into have ten enter.,Low,Engine,Sedan
12725,,5/13/2019,,,,,
12726,Software,1/20/2023,Testing,Time she short pretty.,High,System,Truck
12727,Body,5/22/2015,Production,Star get tax relate both this body.,Low,Suspension,Truck
12728,Electrical,4/23/2022,After Sales,Two task natural religious stay perform least.,Medium,Transmission,Truck
12729,Body,2/17/2022,After Sales,Gas enter Republican science indicate little.,Low,Interior,Hatchback
12730,Other,1/6/2019,Testing,Expert action all.,High,Interior,Sedan
12731,Other,8/9/2022,Production,Sort establish skin trouble role administration.,Low,Interior,Hatchback
12732,Mechanical,7/6/2017,Production,Traditional color campaign town peace not character young.,High,Interior,Hatchback
12733,Electrical,9/28/2021,Production,Anyone hair city unit interesting cause.,Medium,Interior,SUV
12734,Mechanical,1/31/2021,Testing,Appear cost relationship shoulder TV face.,High,Body Panels,Sedan
12735,Electrical,12/2/2014,After Sales,Key test hundred within minute.,Medium,Interior,Hatchback
12736,Software,1/13/2023,Testing,After economy expect cut.,High,Other,Hatchback
12737,Body,4/24/2019,Customer Delivery,Figure tough send career.,High,Other,SUV
12738,Electrical,6/11/2023,After Sales,Behavior find around carry process blue.,Medium,Electrical System,SUV
12739,Software,9/17/2023,Production,Another name news knowledge too.,Low,Other,Truck
12740,Other,1/27/2020,After Sales,Measure game even reality feel quality.,Low,Engine,Truck
12741,Mechanical,7/6/2017,Testing,Page station million child.,Medium,Interior,Sedan
12742,Body,1/12/2023,After Sales,Be five bar ability base represent.,High,Brakes,SUV
